time_s,command_vx,mean_vx,mean_vy,mean_yaw,mean_power_w,alive_fraction,within_tolerance_fraction
0.2,1.0,0.9837328,0.08105081,0.0043782685,46.756573,1.0,1.0
0.2,1.2,1.1343291,0.06492336,-0.07034675,33.803585,1.0,1.0
0.2,1.4,1.3898962,0.035573736,0.037434608,115.15073,1.0,1.0
0.2,1.6,1.6764853,0.039663374,0.15242262,128.571,1.0,1.0
0.2,1.8,1.7781622,0.034471165,-0.05095072,113.47702,1.0,1.0
0.2,2.0,2.1275015,0.0032852073,0.08451983,121.49243,1.0,1.0
0.2,2.2,2.1592507,-0.010217659,-0.014488789,203.00212,1.0,1.0
0.2,2.4,2.4992297,0.04230611,-0.16434315,139.73283,1.0,0.9375
0.2,2.6,2.706036,0.07836051,-0.25081158,145.50635,1.0,0.0625
0.2,2.8,2.7798288,0.019822642,0.2434482,297.7822,1.0,0.25
0.2,3.0,3.0200214,0.049736477,0.60567844,347.35,1.0,0.0
0.22,0.0,0.038891777,0.03080234,0.010987957,8.433212,1.0,1.0
0.22,0.2,0.20989011,-0.002606423,-0.008723546,10.108315,1.0,1.0
0.22,0.4,0.39285347,0.024442773,-0.021114584,11.423139,1.0,1.0
0.22,0.6,0.5849366,0.033095527,-0.077426866,12.167557,1.0,1.0
0.22,0.8,0.86651045,0.028484616,-0.11928754,35.409004,1.0,1.0
0.22,1.0,1.0177821,0.08626602,0.023460485,54.92826,1.0,1.0
0.22,1.2,1.1452243,0.06433634,-0.032796174,44.840324,1.0,1.0
0.22,1.4,1.3476217,0.040493235,0.045736358,106.05867,1.0,1.0
0.22,1.6,1.6503735,0.047018886,0.0644713,163.57298,1.0,1.0
0.22,1.8,1.8282259,0.03640338,-0.12385975,108.50487,1.0,1.0
0.22,2.0,2.1432793,0.0010046563,0.12816517,206.6735,1.0,1.0
0.22,2.2,2.1843524,-0.00081997097,-0.08743516,163.0228,1.0,1.0
0.22,2.4,2.4922233,0.042078026,-0.20779863,316.16217,1.0,0.3125
0.22,2.6,2.6665735,0.06747148,-0.25288182,575.1587,1.0,0.125
0.22,2.8,2.8296056,0.009209324,0.1224473,274.68842,1.0,1.0
0.22,3.0,2.9440932,0.087536655,0.3214936,690.5033,1.0,0.0
0.24,0.0,0.03612257,0.025260437,0.007451725,7.725294,1.0,1.0
0.24,0.2,0.20423025,-0.00022638217,0.021203551,7.438149,1.0,1.0
0.24,0.4,0.4072351,0.035252582,-0.01278336,14.232653,1.0,1.0
0.24,0.6,0.57381797,0.026231391,-0.07949222,20.434532,1.0,1.0
0.24,0.8,0.8428381,0.034172907,-0.12440266,29.055378,1.0,1.0
0.24,1.0,1.0636466,0.0914776,0.087309256,41.655193,1.0,1.0
0.24,1.2,1.1744168,0.06679128,-0.018509354,54.292152,1.0,1.0
0.24,1.4,1.3255711,0.041743368,0.02075421,71.87408,1.0,1.0
0.24,1.6,1.5826837,0.053631082,-0.018653056,142.63354,1.0,1.0
0.24,1.8,1.8666239,0.04229255,-0.10880977,133.81439,1.0,1.0
