time_s,command_vx,mean_vx,mean_vy,mean_yaw,mean_power_w,alive_fraction,within_tolerance_fraction
0.1,4.4,-0.0005094522,-0.008494063,0.019932289,4.4014072,1.0,0.0
0.1,4.6,-0.0026467212,-0.0024586283,0.016121816,4.566308,1.0,0.0
0.1,4.8,-0.0022090098,-0.005283499,0.014203098,7.649227,1.0,0.0
0.1,5.0,-0.0044899452,-0.0033405563,0.048297767,8.8516445,1.0,0.0
0.12,0.0,-0.015912194,-0.020863563,0.2033768,5.9295855,1.0,0.0
0.12,0.2,0.17350927,-0.016304428,0.09320654,5.0875654,1.0,1.0
0.12,0.4,0.39008182,-0.027418979,0.009877868,15.887133,1.0,1.0
0.12,0.6,0.60611284,-0.002021267,-0.061846238,24.158134,1.0,1.0
0.12,0.8,0.80308217,0.022415513,-0.14991933,33.130356,1.0,1.0
0.12,1.0,1.0039358,0.025773708,-0.13097298,47.25902,1.0,1.0
0.12,1.2,1.1830453,0.024883958,-0.06740774,53.790455,1.0,1.0
0.12,1.4,1.3705246,0.011714993,-0.08421379,63.640358,1.0,1.0
0.12,1.6,1.5797486,0.0022826213,-0.17575662,97.686554,1.0,1.0
0.12,1.8,1.8180803,-0.0036413544,-0.26143304,174.53891,1.0,0.0
0.12,2.0,2.028133,-0.061614748,-0.30148286,259.9004,1.0,0.0
0.12,2.2,2.1579187,-0.088760614,-0.13824227,411.94797,1.0,1.0
0.12,2.4,2.3372726,-0.08577298,-0.14784451,187.51627,1.0,1.0
0.12,2.6,2.5427363,-0.07487536,-0.25209135,177.9739,1.0,0.125
0.12,2.8,2.6850362,-0.0513025,0.3598708,391.11908,1.0,0.0
0.12,3.0,2.8951192,-0.08354534,0.076492175,650.44293,1.0,0.875
0.12,3.2,3.008403,-0.11830807,-0.2051557,754.1631,1.0,0.625
0.12,3.4,3.11549,-0.13259661,-0.36475658,776.3851,1.0,0.0
0.12,3.6,3.189355,-0.15020448,-0.33460698,797.10864,1.0,0.0
0.12,3.8,3.254939,-0.14601077,-0.27634913,808.76904,1.0,0.0
0.12,4.0,0.003226003,0.01971972,0.0050291484,9.232509,1.0,0.0
0.12,4.2,-0.0026736432,-0.0063726967,0.022519603,4.75426,1.0,0.0
0.12,4.4,-0.00083492754,-0.008128331,0.020367559,4.260942,1.0,0.0
0.12,4.6,-0.00279844,-0.0023678704,0.01693429,4.4794927,1.0,0.0
0.12,4.8,-0.0026886337,-0.005161575,0.01509724,7.7136416,1.0,0.0
0.12,5.0,-0.004374262,-0.0032770778,0.04769513,8.990429,1.0,0.0
0.14,0.0,-0.024169499,-0.022823503,0.12880757,11.902537,1.0,1.0
0.14,0.2,0.1712923,-0.016988376,0.11819402,4.8657327,1.0,1.0
0.14,0.4,0.3871402,-0.022703376,0.04986497,9.4213915,1.0,1.0
0.14,0.6,0.6064224,-0.015304646,0.002882699,31.519215,1.0,1.0
0.14,0.8,0.8210112,0.017288325,-0.06525634,36.39569,1.0,1.0
0.14,1.0,1.0339592,0.026691532,-0.12373247,67.708496,1.0,1.0
0.14,1.2,1.2137475,0.026217733,-0.17695546,66.824715,1.0,1.0
0.14,1.4,1.3966771,0.014102364,-0.18948789,90.97855,1.0,1.0
0.14,1.6,1.6182038,0.010859653,-0.2555586,123.53511,1.0,0.0
0.14,1.8,1.826846,-0.007586187,-0.119785294,205.14003,1.0,1.0
0.14,2.0,2.039769,-0.08809167,-0.29608855,316.80038,1.0,0.0
0.14,2.2,2.1468868,-0.07414295,-0.09437372,267.57202,1.0,1.0
0.14,2.4,2.3449898,-0.08298268,-0.19414024,194.85109,1.0,0.6875
0.14,2.6,2.5590882,-0.07734434,-0.011033277,146.34293,1.0,1.0
0.14,2.8,2.6773744,-0.0405856,0.25417426,551.74286,1.0,0.0625
0.14,3.0,2.864754,-0.10235521,-0.18194164,680.6582,1.0,0.8125
0.14,3.2,3.0207858,-0.11239578,-0.35009664,499.53198,1.0,0.0
0.14,3.4,3.1498246,-0.10693559,-0.377583,405.81613,1.0,0.0
0.14,3.6,3.2292657,-0.123798504,-0.32774758,464.50446,1.0,0.0
0.14,3.8,3.2940626,-0.12309955,-0.300107,557.55835,1.0,0.0
0.14,4.0,0.0053070327,0.025612367,0.015015423,9.100214,1.0,0.0
0.14,4.2,-0.003341298,-0.0060449825,0.021270199,4.6307635,1.0,0.0
0.14,4.4,-0.0005039587,-0.008326998,0.01935714,4.064122,1.0,0.0
